,Unnamed: 0,calories,calfromfat,fat,satfat,transfat,cho,sodium,charbo,dietfac,sugar,protein,brand
6369,Hashbrown Casserole,100,45,3.5g,1.5g,0g,5mg,410mg,14g,1g,1g,3g,Golden Corral
6370,Hominy,100,40,4.5g,1.5g,0g,0mg,760mg,14g,4g,0g,1g,Golden Corral
6371,Honey,35,0,0g,0g,0g,0mg,0mg,10g,0g,10g,0g,Golden Corral
6372,Made-To-Order Eggs,130,0,11g,2.5g,0g,170mg,125mg,1g,0g,1g,6g,Golden Corral
6373,Maple Syrup,120,0,0g,0g,0g,0mg,0mg,30g,0g,30g,0g,Golden Corral
6374,Mini Bacon And Cheese Quiche,250,160,18g,6g,0g,60mg,530mg,15g,0g,2g,7g,Golden Corral
6375,Mini Spinach Quiche,230,150,17g,6g,0g,60mg,460mg,15g,0g,1g,5g,Golden Corral
6376,Oatmeal,120,0,2.5g,0g,0g,0mg,10mg,21g,3g,1g,4g,Golden Corral
6377,Omelet,270,0,23g,6g,0g,350mg,220mg,3g,0g,1g,12g,Golden Corral
6378,Pancakes,80,35,4g,1g,0g,10mg,35mg,9g ,0g,3g,2g,Golden Corral
6379,Peach Topping,35,0,0g,0g,0g,0mg,30mg,10g,0g,8g,0g,Golden Corral
6380,Peach-Topped Waffle,150,0,10g,2.5g,0g,20mg,350mg,24g,0g,10g,3g,Golden Corral
6381,Pecan Syrup,80,0,0g,0g,0g,0mg,15mg,20g,0g,13g,0g,Golden Corral
6382,Pineapple Topping,35,0,0g,0g,0g,0mg,20mg,8g,0g,7g,0g,Golden Corral
6383,Raisin Bran Cereal,110,0,0.5g,0g,0g,0mg,125mg,27g,4g,10g,3g,Golden Corral
6384,Rice Krispies Cereal,130,0,0g,0g,0g,0mg,190mg,29g,0g,4g,2g,Golden Corral
6385,Sausage And Egg Burrito,320,180,19g,8g,0g,110mg,760mg,22g,1g,1g,16g,Golden Corral
6386,Sausage Gravy,80,35,7g,2g,0g,15mg,230mg,4g,0g,0g,2g,Golden Corral
6387,Sausage Links,120,0,11g,4g,0g,15mg,250mg,1g,0g,0g,5g,Golden Corral
6388,Scrambled Eggs,180,130,14g,4.5g,0g,330mg,150mg,2g,0g,1g,11g,Golden Corral
6389,Skillet Hashbrowns,220,0,19g,2g,0g,0mg,350mg,13g,2g,1g,1g,Golden Corral
6390,Spinach Quiche,240,160,18g,6g,0g,80mg,460mg,14g,1g,1g,6g,Golden Corral
6391,Strawberry Cheesecake French Toast,210,80,19g,4.5g,0g,100mg,160mg,26g,0g,17g,5g,Golden Corral
6392,Strawberry Syrup,90,0,0g,0g,0g,0mg,0mg,26g,0g,25g,0g,Golden Corral
6393,Strawberry Topping,40,0,0g,0g,0g,0mg,0mg,10g,0g,10g,0g,Golden Corral
6394,Sugar-Free Syrup,15,0,0g,0g,0g,0mg,55mg,6g,0g,0g,0g,Golden Corral
6395,Waffles,80,0,0g,0g,0g,0mg,300mg,17g,0g,4g,2g,Golden Corral
6396,Whole Eggs,80,50,5g,1.5g,0g,185mg,60mg,1g,0g,1g,6g,Golden Corral
6397,Baked BBQ Chicken Legs,140,200,7g,2g,0g,100mg,610mg,5g,0g,4g,16g,Golden Corral
6398,Baked Honey Teriyaki Chicken Legs,150,0,7g,2g,0g,100mg,740mg,7g,0g,6g,16g,Golden Corral
6399,Baked Mandarin Orange Chicken Legs,160,0,7g,2g,0g,100mg,610mg,9g,0g,8g,16g,Golden Corral
6400,Baked Teriyaki Chicken Legs,150,0,7g,2g,0g,100mg,840mg,7g,0g,5g,16g,Golden Corral
6401,BBQ Chicken Breasts,350,0,12g,4g,0g,190mg,150mg,5g,1g,4g,55g,Golden Corral
6402,BBQ Chicken Legs,150,0,7g,1.5g,0g,90mg,340mg,4g,0g,4g,18g,Golden Corral
6403,BBQ Chicken Thighs,350,0,24g,8g,0g,185mg,1280mg,6g,1g,5g,28g,Golden Corral
6404,BBQ Chicken Wings,180,130,12g,3g,0g,95mg,190mg,3g,0g,3g,15g,Golden Corral
6405,Boneless BBQ Chicken Wings,180,0,6g,1.5g,0g,55mg,830mg,13g,1g,7g,20g,Golden Corral
6406,Boneless Buffalo Chicken Wings,180,0,7g,1.5g,0g,65mg,1060mg,8g,3g,0g,22g,Golden Corral
6407,Boneless Franks Red Hot Chicken Wings,180,0,7g,1.5g,0g,60mg,1450mg,6g,1g,0g,22g,Golden Corral
6408,Boneless Nashville Chicken Wings,190,0,6g,1g,0g,60mg,1170mg,13g,2g,4g,19g,Golden Corral
6409,Bourbon Street Chicken,170,80,9g,2.5g,0g,95mg,350mg,4g,1g,4g,19g,Golden Corral
6410,Bourbon Street Chicken Wings,190,140,12g,3.5g,0g,100mg,330mg,3g,0g,2g,16g,Golden Corral
6411,Breaded Chicken Wings,280,200,19g,4.5g,0g,110mg,410mg,7g,0g,0g,18g,Golden Corral
6412,Buffalo Chicken Sandwich,210,90,10g,3g,0g,30mg,620mg,20g,1g,5g,9g,Golden Corral
6413,Carved Turkey - Dark Meat,180,0,9g,2.5g,0g,115mg,160mg,0g,0g,0g,23g,Golden Corral
6414,Carved Turkey - White Meat,170,0,7g,2g,0g,65mg,125mg,0g,0g,0g,24g,Golden Corral
6415,Carved Turkey Breast,110,50,6g,2g,0g,45mg,640mg,2g,0g,0g,15g,Golden Corral
6416,Chicken And Noodle Dumplings,210,0,7g,2g,0g,45mg,1100mg,25g,1g,2g,13g,Golden Corral
6417,Chicken Bistro Melt,270,0,16g,7g,0g,60mg,590mg,12g,0g,1g,17g,Golden Corral
6418,Chicken Cacciatore,280,0,19g,5g,0g,140mg,970mg,6g,2g,4g,23g,Golden Corral
6419,Chicken Enchiladas,190,90,11g,3.5g,0g,40mg,670mg,11g,1g,1g,11g,Golden Corral
6420,Chicken Fajitas,80,0,3g,0.5g,0g,30mg,230mg,3g,0g,3g,10g,Golden Corral
6421,Chicken Fried Chicken,270,0,14g,2.5g,0g,60mg,710mg,14g,1g,0g,21g,Golden Corral
6422,Chicken Gizzards,160,0,10g,2g,0g,90mg,310mg,10g,1g,0g,9g,Golden Corral
6423,Chicken Lemonata,140,0,6g,2.5g,0g,35mg,1220mg,4g,1g,1g,15g,Golden Corral
6424,Chicken Machaca,120,0,6g,1.5g,0g,60mg,470mg,2g,1g,1g,15g,Golden Corral
6425,Chicken Parmesan,240,100,12g,3.5g,0g,40mg,570mg,16g,1g,1g,17g,Golden Corral
6426,Chicken Piccata,220,120,13g,4.5g,0g,50mg,640mg,6g,1g,1g,19g,Golden Corral
6427,Chicken Pot Pie,140,60,7g,2.5g,0g,20mg,340mg,14g,1g,2g,6g,Golden Corral
6428,Chicken Quesadillas,130,70,8g,3g,0g,15mg,230mg,9g,1g,1g,5g,Golden Corral
6429,Chicken Strips,60,20,1g,0g,0g,35mg,190mg,0g,0g,0g,11g,Golden Corral
6430,Chicken Stuffed Burritos,300,0,18g,9g,0g,60mg,740mg,18g,1g,1g,17g,Golden Corral
6431,Fried Chicken,240,130,15g,3.5g,0g,85mg,460mg,6g,1g,0g,19g,Golden Corral
6432,Fried Chicken Legs,200,0,12g,3g,0g,80mg,220mg,3g,0g,0g,18g,Golden Corral
6433,Fried Chicken Livers,230,110,12g,3g,0g,325mg,370mg,9g,1g,0g,21g,Golden Corral
6434,Grilled BBQ Chicken,140,0,2.5g,0.5g,0g,65mg,730mg,12g,0g,11g,17g,Golden Corral
6435,Grilled Chicken And Avocado Sandwich,230,0,16g,6g,0g,25mg,430mg,12g,2g,1g,9g,Golden Corral
6436,Grilled Chicken Livers,210,0,4.5g,1.5g,0g,260mg,620mg,23g,1g,1g,18g,Golden Corral
6437,Grilled Hickory Bourbon Chicken,260,0,6g,2.5g,0g,80mg,930mg,30g,1g,27g,21g,Golden Corral
6438,Grilled Honey Teriyaki Chicken Breast,200,0,3g,1g,0g,90mg,1170mg,18g,1g,17g,24g,Golden Corral
6439,Grilled Mandarin Orange Chicken,200,0,3g,0.5g,0g,65mg,710mg,25g,0g,23g,17g,Golden Corral
6440,Grilled Sweet Buffalo Chicken,190,0,3g,0.5g,0g,65mg,840mg,23g,2g,19g,18g,Golden Corral
6441,Grilled Teriyaki Chicken,170,0,2.5g,0.5g,0g,65mg,1420mg,18g,0g,14g,18g,Golden Corral
6442,Grilled Turkey And Cheese Sandwich,300,0,19g,7g,0g,50mg,690mg,13g,0g,2g,19g,Golden Corral
6443,Hand-Breaded Chicken Tenders,160,80,8g,1.5g,0g,50mg,510mg,7g,0g,0g,13g,Golden Corral
6444,Hickory Bourbon Chicken Legs,170,0,7g,1.5g,0g,90mg,290mg,9g,0g,9g,18g,Golden Corral
6445,Honey Sesame Chicken,350,140,16g,3g,0g,65mg,1130mg,25g,1g,15g,27g,Golden Corral
6446,Honey Sesame Glazed Wings,200,0,13g,3.5g,0g,100mg,130mg,4g,0g,3g,16g,Golden Corral
6447,Honey Teriyaki Chicken Breasts,360,0,12g,4g,0g,190mg,280mg,7g,1g,6g,55g,Golden Corral
6448,Honey Teriyaki Chicken Thighs,360,0,24g,8g,0g,185mg,1410mg,8g,1g,7g,28g,Golden Corral
6449,Honey Teriyaki Pineapple Chicken Legs,160,0,7g,1.5g,0g,90mg,470mg,7g,0g,6g,18g,Golden Corral
6450,Hot Buffalo Chicken Legs,150,0,7g,1.5g,0g,90mg,400mg,2g,,,,
6451,,1g,0g,18g,Golden Corral,,,,,,,,
6452,Hot Buffalo Chicken Wings,180,140,12g,3.5g,0g,100mg,210mg,1g,1g,0g,16g,Golden Corral
6453,Lemon Herb Chicken,190,0,9g,2.5g,0g,55mg,125mg,12g,1g,1g,14g,Golden Corral
6454,Mandarin Orange Chicken Breasts,360,0,12g,4g,0g,190mg,140mg,9g,1g,8g,55g,Golden Corral
6455,Mandarin Orange Chicken Thighs,370,0,24g,8g,0g,185mg,1270mg,10g,1g,9g,28g,Golden Corral
6456,Mild Buffalo Chicken Legs,150,0,7g,1.5g,0g,90mg,450mg,2g,1g,0g,18g,Golden Corral
6457,Mild Buffalo Chicken Wings,180,0,12g,3.5g,0g,100mg,240mg,1g,1g,0g,16g,Golden Corral
6458,Mini Chicken Pot Pie,400,200,24g,8g,0g,40mg,1140mg,34g,5g,4g,11g,Golden Corral
6459,Mini Chicken Sandwich,200,90,10g,3g,0g,30mg,450mg,19g,1g,5g,9g,Golden Corral
6460,Mini Corn Dogs,240,0,13g,3g,0g,40mg,440mg,22g,1g,5g,9g,Golden Corral
6461,Nashville Hot Fried Chicken Thighs,520,0,29g,7g,0g,100mg,1670mg,42g,1g,17g,20g,Golden Corral
6462,Orange Chicken,390,130,15g,2.5g,0g,60mg,860mg,40g,1g,29g,25g,Golden Corral
6463,Pulled BBQ Chicken,110,0,1.5g,0g,0g,40mg,450mg,10g,0g,9g,14g,Golden Corral
6464,Pulled Chicken In Poultry Gravy,80,0,1.5g,0.5g,0g,40mg,280mg,3g,0g,0g,14g,Golden Corral
6465,Rotisserie Chicken,310,130,15g,4.5g,0g,175mg,1070mg,1g,1g,1g,43g,Golden Corral
6466,San Francisco Chicken,370,0,18g,8g,0g,70mg,1240mg,31g,4g,2g,21g,Golden Corral
6467,Smoked BBQ Turkey Breast,120,0,4g,1g,0g,55mg,700mg,3g,0g,1g,19g,Golden Corral
6468,Smoked BBQ Wings,180,0,11g,3g,0g,105mg,220mg,2g,0g,2g,17g,Golden Corral
6469,Smokehouse Chicken Flatbread,190,0,11g,6g,0g,45mg,560mg,11g,1g,2g,12g,Golden Corral
6470,Smothered Grilled Chicken,200,0,10g,3.5g,0g,100mg,870mg,2g,0g,0g,27g,Golden Corral
6471,Spicy Garlic Chicken Legs,140,0,7g,1.5g,0g,90mg,640mg,1g,1g,0g,18g,Golden Corral
6472,Spicy Garlic Wings,180,0,12g,3.5g,0g,100mg,350mg,1g,0g,0g,16g,Golden Corral
6473,Spicy Pagoda Chicken,240,90,10g,2g,0g,45mg,730mg,21g,2g,12g,17g,Golden Corral
6474,Spicy Ranch Chicken Breast,280,0,15g,3.5g,0g,140mg,880mg,3g,1g,3g,33g,Golden Corral
6475,Sweet And Sour Chicken,240,90,10g,2g,0g,40mg,370mg,21g,2g,13g,17g,Golden Corral
6476,Sweet Buffalo Chicken Thighs,400,0,26g,8g,0g,215mg,570mg,6g,1g,6g,36g,Golden Corral
6477,Tempura-Battered Chicken Tenders,250,0,13g,2.5g,0g,45mg,1070mg,18g,1g,0g,16g,Golden Corral
6478,Teriyaki Chicken Breasts,350,0,12g,4g,0g,190mg,380mg,7g,1g,5g,55g,Golden Corral
6479,Teriyaki Chicken Thighs,360,0,24g,8g,0g,185mg,1510mg,8g,1g,6g,28g,Golden Corral
6480,Teriyaki Honey Pineapple Chicken Wings,190,0,12g,3g,0g,100mg,280mg,5g,0g,4g,16g,Golden Corral
6481,Turkey Bistro Sandwich With Bacon,300,0,18g,8g,0g,60mg,760mg,10g,0g,1g,21g,Golden Corral
6482,Turkey Pot Pie,160,0,8g,3g,0g,30mg,420mg,14g,1g,2g,8g,Golden Corral
6483,Turkey Sausage,90,25,2.5g,0.5g,0g,20mg,135mg,0g,0g,0g,8g,Golden Corral
6484,Turkey Slices With Poultry Gravy,90,40,4.5g,1.5g,0g,35mg,500mg,2g,0g,0g,11g,Golden Corral
6485,Turkey Stacker,320,0,16g,3.5g,0g,50mg,1160mg,27g,1g,2g,18g,Golden Corral
6486,Apple Cobbler,180,45,5g,2g,0g,5mg,240mg,34g,0g,23g,1g,Golden Corral
6487,Apple Pie,330,120,13g,5g,0g,10mg,400mg,49g,2g,16g,5g,Golden Corral
6488,Apple Spiced Coffee Cake,200,0,7g,1g,0g,15mg,210mg ,33g,1g,21g,2g,Golden Corral
6489,Banana Pecan Oatmeal Cookies,100,0,4g,1.5g,0g,15mg,125mg,17g,1g,1g,2g,Golden Corral
6490,Banana Pudding,240,110,10g,7g,0g,0mg,190mg,35g,0g,21g,2g,Golden Corral
6491,Berry Cheese Blintz,250,0,25g,6g,0g,60mg,190mg,25g,0g,19g,3g,Golden Corral
6492,Blueberry Pie,280,70,8g,3g,0g,0mg,380mg,49g,4g,6g,5g,Golden Corral
6493,Bread Pudding,270,120,13g,8g,0g,95mg,130mg,33g,0g,23g,5g,Golden Corral
6494,Butter Pecan Ice Cream,150,80,9g,4g,0g,25mg,120mg,16g,0g,12g,2g,Golden Corral
6495,Candy Corn,70,0,0g,0g,0g,0mg,30mg,16g,0g,13g,0g,Golden Corral
6496,Caramel Pecan Shooter,240,110,10g,3.5g,0g,5mg,90mg,38g,0g,31g,1g,Golden Corral
6497,Carrot Cake,240,140,12g,4.5g,0g,15mg,200mg,34g,1g,27g,1g,Golden Corral
6498,Cherry Cobbler,200,45,5g,2g,0g,5mg,220mg,37g,1g,25g,2g,Golden Corral
6499,Cherry Pie,260,120,10g,4.5g,0g,0mg,230mg,40g,1g,20g,2g,Golden Corral
6500,Chocolate Cake With Cherries,160,90,8g,2g,0g,20mg,190mg,23g,0g,17g,1g,Golden Corral
6501,Chocolate Cake With Chocolate Chips,210,0,11g,4g,0g,20mg,180mg,29g,0g,22g,1g,Golden Corral
6502,Chocolate Chess Pie,380,170,19g,10g,0g,50mg,180mg,49g,0g,42g,3g,Golden Corral
6503,Chocolate Chip Cookie Crumbles,80,0,4g,2g,0g,0mg,40mg,11g,0g,7g,1g,Golden Corral
6504,Chocolate Chip Cookies,60,25,3g,1.5g,0g,0mg,30mg,8g,0g,5g,1g,Golden Corral
6505,Chocolate Chips,140,70,8g,5g,0g,0mg,0mg,18g,0g,16g,0g,Golden Corral
6506,Chocolate Cookie,70,30,3.5g,1g,0g,5mg,45mg,12g,1g,0g,1g,Golden Corral
6507,Chocolate Cookie Crumbles,60,0,2g,0.5g,0g,0mg,55mg,9g,0g,4g,1g,Golden Corral
6508,Chocolate Covered Raisins,110,50,6g,6g,0g,0mg,10mg,15g,0g,13g,1g,Golden Corral
6509,Chocolate Crinkle Cookies,70,0,2.5g,0.5g,0g,5mg,70mg,9g,0g,6g,1g,Golden Corral
6510,Chocolate Cupcakes,190,80,9g,2.5g,0g,20mg,210mg,28g,1g,21g,2g,Golden Corral
6511,Chocolate Fountain,210,130,15g,9g,0g,0mg,65mg,20g,2g,17g,1g,Golden Corral
6512,Chocolate Fudge,130,40,4.5g,2g,0g,0mg,50mg,22g,0g,19g,0g,Golden Corral
6513,Chocolate Pudding,120,40,4.5g,3g,0g,10mg,230mg,16g,0g,6g,3g,Golden Corral
6514,Chocolate Soft Serve Ice Cream,90,0,2g,1.5g,0g,5mg,55mg,20g,0g,15g,1g,Golden Corral
6515,Chocolate Sprinkle Cookies,70,0,3g,1g,0g,5mg,75mg,10g,0g,7g,1g,Golden Corral
6516,Chocolate Syrup,70,0,0g,0g,0g,0mg,5mg,17g,0g,14g,0g,Golden Corral
6517,Chocolate White Chip Cookies,60,25,3g,1.5g,0g,5mg,40mg,8g,0g,5g,1g,Golden Corral
6518,Cinnamon Imperials,25,0,0g,0g,0g,0mg,0mg,6g,0g,5g,0g,Golden Corral
6519,Cinnamon Spice Shooter,160,90,8g,3g,0g,5mg,45mg,22g,0g,20g,0g,Golden Corral
6520,Cocoa Sugar Cookies,60,0,2.5g,0.5g,0g,5mg,70mg,8g,0g,5g,1g,Golden Corral
6521,Coconut Cake,260,0,14g,8g,0g,5mg,300mg,35g,0g,24g,2g,Golden Corral
6522,Coconut Cherry Macaroon Cookies,110,0,5g,5g,0g,0mg,45mg,15g,2g,12g,1g,Golden Corral
6523,Coconut Cookies,70,30,3.5g,2g,0g,5mg,35mg,10g,0g,6g,1g,Golden Corral
6524,Coconut Macaroon Cookies,100,50,5g,5g,0g,0mg,45mg ,13g,1g,10g,1g,Golden Corral
6525,Coconut Meringue Pie,280,0,12g ,6g,0g,0mg,190mg,39g,0g,22g,3g,Golden Corral
6526,Cookies And Cream Ice Cream,170,80,9g,5g,0g,30mg,75mg,20g,0g,15g,3g,Golden Corral
6527,Cotton Candy,110,0,0g,0g,0g,0mg,10mg,25g,0g,18g,0g,Golden Corral
6528,Frozen Vanilla Yogurt,70,0,0g,0g,0g,0mg,70mg,14g,0g,5g,4g,Golden Corral
6529,Fruit Shaped Candy,60,0,0g,0g,0g,0mg,0mg,15g,0g,14g,0g,Golden Corral
6530,Fudgy Brownies,160,50,7g,1.5g,0g,55mg,1030mg,22g,1g,10g,3g,Golden Corral
6531,German Chocolate Brownies,160,0,7g,2g,0g,55mg,1030mg,21g ,1g,9g,3g,Golden Corral
6532,German Chocolate Cake,210,130,11g,4g,0g,20mg,220mg,29g,1g,21g,2g,Golden Corral
6533,German Chocolate Crisp Bars,270,110,13g,7g,0g,0mg,65mg,36g,2g,25g,2g,Golden Corral
6534,Gingerbread Cookies,60,0,2.5g,0g,0g,5mg,85mg,11g,0g,6g,1g,Golden Corral
6535,Glazed Donuts,170,0,7g,3g,0g,5mg,180mg,24g,1g,11g,2g,Golden Corral
6536,Grilled Peach Cobbler,100,45,1.5g,0g,0g,5mg,70mg,22g,0g,18g,0g,Golden Corral
6537,Gummy Bears,90,0,0g,0g,0g,0mg,5mg,19g,0g,13g,2g,Golden Corral
6538,Hot Caramel,90,10,1g,0.5g,0g,5mg,50mg,20g,0g,13g,1g,Golden Corral
6539,Hot Fudge,90,25,3g,3g,0g,0mg,65mg, 15g,0g,14g,1g,Golden Corral
6540,Ice Cream Cones,20,0,0g,0g,0g,0mg,10mg,4g,0g,0g,0g,Golden Corral
6541,Jellybeans,110,0,0g,0g,0g,0mg,10mg,27g,0g,18g,0g,Golden Corral
6542,Large Marshmallows,70,0,0g,0g,0g,0mg,25mg,18g,0g,13g,0g,Golden Corral
6543,Lemon Bars,170,35,4.5g,2g,0g,30mg,105mg,31g,0g,22g,2g,Golden Corral
6544,Vanilla Soft Serve Ice Cream,110,0,2g,1.5g,0g,5mg,100mg,22g,0g,16g,1g,Golden Corral
6545,Vanilla Wafer Crumbles,80,0,4g,2g,0g,0mg,60mg,11g,0g,4g,1g,Golden Corral
6546,Whipped Topping,25,15,2g,2g,0g,0mg,0mg,2g,0g,2g,0g,Golden Corral
6547,Yogurt Covered Raisins,70,35,4g,4g,0g,0mg,5mg,10g,0g,9g,0g,Golden Corral
6548,Apples,15,0,0g,0g,0g,0mg,0mg,4g,1g,3g,0g,Golden Corral
6549,Bananas,90,5,0g,0g,0g,0mg,0mg,23g,3g,12g,1g,Golden Corral
6550,Blueberries,20,0,0g,0g,0g,0mg,0mg,5g,1g,4g,0g,Golden Corral
6551,Cantaloupe,25,0,0g,0g,0g,0mg,15mg,7g,1g,6g,1g,Golden Corral
6552,Fresh Grapefruit,60,0,0g,0g,0g,0mg,0mg,16g,6g,10g,1g,Golden Corral
6553,Grapefruit Sections,30,0,0g,0g,0g,0mg,0mg,7g,1g,7g,1g,Golden Corral
6554,Honeydew Melon,30,0,0g,0g,0g,0mg,15mg,8g,1g,7g,0g,Golden Corral
6555,Kiwi,50,0,0g,0g,0g,0mg,0mg,13g,3g,8g,1g,Golden Corral
6556,Lemon Wedges,5,0,0g,0g,0g,0mg,0mg,1g,0g,0g,0g,Golden Corral
6557,Lime,5,0,0g,0g,0g,0mg,0mg,1g,0g,0g,0g,Golden Corral
6558,Mango,25,0,0g,0g,0g,0mg,0mg,6g,1g,6g,0g,Golden Corral
6559,Orange Slices,40,0,0g,0g,0g,0mg,0mg,11g,2g,8g,1g,Golden Corral
6560,Papaya,15,0,0g,0g,0g,0mg,0mg,4g,1g,3g,0g,Golden Corral
6561,Peaches,70,0,0g,0g,0g,0mg,10mg,17g,1g,16g,0g,Golden Corral
6562,Pears,80,0,0g,0g,0g,0mg,0mg,19g,2g,15g,0g,Golden Corral
6563,Pineapple Tidbits,40,0,0g,0g,0g,0mg,0mg,10g,1g,9g,0g,Golden Corral
6564,Watermelon,10,0,0g,0g,0g,0mg,0mg, 3g,0g,2g,0g,Golden Corral
6565,Cheese Pizza,210,60,7g,4.5g,0g,15mg,540mg,26g,1g,2g,9g,Golden Corral
6566,Fresh Tomato Pizza,240,0,11g,5g,0g,20mg,690mg,26g,1g,3g,10g,Golden Corral
6567,Pepperoni Pizza,250,90,11g,6g,0g,25mg,680mg,26g,1g,2g,11g,Golden Corral
6568,Sausage Pizza,270,110,13g,6g,0g,25mg,670mg,26g,1g,2g,11g,Golden Corral
6569,Baby Back Pork Ribs,190,140,13g,4.5g,0g,55mg,350mg,3g,0g,2g,15g,Golden Corral
6570,BBQ Pork,170,80,8g,2.5g,0g,75mg,100mg, 5g,1g,4g,18g,Golden Corral
6571,BBQ Pork Loin,170,0,7g,2.5g,0g,45mg,740mg,9g,1g,7g,17g,Golden Corral
6572,BBQ Pork Ribs,220,110,12g,4g,0g,75mg,440mg,5g,0g,4g,23g,Golden Corral
6573,Boneless BBQ Pork Ribs,120,0,7g,2.5g,0g,30mg,210mg,3g,0g,3g,10g,Golden Corral
6574,Cajun Double Smoked Sausage,240,310,21g,9g,0g,50mg,640mg,2g,1g,1g,12g,Golden Corral
6575,Country Rope Sausage,180,0,15g,4.5g,0g,50mg,380mg,0g,0g,0g,12g,Golden Corral
6576,Fatback,180,0,17g,5g,0g,20mg,970mg,1g,0g,0g,6g,Golden Corral
6577,Glazed Ham,130,0,3.5g,1.5g,0g,35mg,620mg,10g,0g,9g,13g,Golden Corral
6578,Grilled BBQ Pork,230,0,15g,5g,0g,65mg,600mg,3g,0g,3g,21g,Golden Corral
6579,Grilled BBQ Pork Loin,140,0,7g,2.5g,0g,40mg,610mg,3g,0g,3g,18g,Golden Corral
6580,Grilled BBQ Pork Steaks,210,0,13g,5g,0g,70mg,750mg,5g,0g,3g,17g,Golden Corral
6581,Grilled Cajun Sausage With Apples,210,0,18g,7g,0g,30mg,320mg,5g,1g,4g,6g,Golden Corral
6582,Grilled Ham Steaks,110,40,4.5g,1.5g,0g,40mg,870mg,5g,0g,5g,11g,Golden Corral
6583,Grilled Hickory Bourbon Pork,250,0,15g,5g,0g,65mg,560mg,7g,0g,7g,21g,Golden Corral
6584,Grilled Hickory Bourbon Pork Loin,160,0,6g,2.5g,0g,40mg,570mg,7g,0g,7g,18g,Golden Corral
6585,Grilled Hickory Bourbon Pork Steaks,220,0,13g,5g,0g,70mg,710mg,9g,0g,7g,17g,Golden Corral
6586,Grilled Teriyaki Pineapple Pork,240,0,15g,5g,0g,65mg,710mg,5g,0g,5g,21g,Golden Corral
6587,Grilled Teriyaki Pineapple Pork Loin,150,0,6g,2.5g,0g,40mg,720mg,5g,0g,5g,18g,Golden Corral
6588,Grilled Teriyaki Pineapple Pork Steaks,220,0,13g,5g,0g,70mg,860mg,7g,0g,5g,17g,Golden Corral
6589,Grilled Teriyaki Pork,240,0,15g,5g,0g,65mg,790mg,5g,0g,4g,21g,Golden Corral
6590,Grilled Teriyaki Pork Loin,150,0,6g,2.5g,0g,40mg,800mg,5g,0g,4g,18g,Golden Corral
6591,Grilled Teriyaki Pork Steaks,210,0,13g,5g,0g,70mg,940mg,6g,0g,4g,17g,Golden Corral
6592,Ham And Cheese Bistro Melt,260,160,18g,8g,0g,40mg,970mg,10g,0g,1g,13g,Golden Corral
6593,Italian Sausage,200,140,15g,6g,0g,50mg,470mg,0g,0g,0g,14g,Golden Corral
6594,Italian Sausage With Onions And Peppers,190,0,16g,4.5g,0g,35mg,350mg,2g,0g,1g,9g,Golden Corral
6595,Mandarin Orange Pork,380,160,18g,4.5g,0g,65mg,1110mg,30g,0g,24g,24g,Golden Corral
6596,Mini BBQ Pork Sandwich,240,0,11g,4g,0g,50mg,260mg,20g,1g,8g,14g,Golden Corral
6597,Pork Enchiladas,210,0,13g,4g,0g,35mg,610mg,11g,1g,1g,12g,Golden Corral
6598,Pork Fillets,250,150,17g,6g,0g,75mg,790mg,1g,0g,0g,22g,Golden Corral
6599,Pork Liver Mush,120,0,8g,1.5g,0g,55mg,310mg,9g,2g,0g,5g,Golden Corral
6600,Pork Loin,140,0,7g,2.5g,0g,45mg,440mg,1g,1g,0g,17g,Golden Corral
6601,Pork Loin With Poultry Gravy,150,0,7g,2.5g,0g,45mg,590mg,3g,1g,0g,17g,Golden Corral
6602,Pork Machaca,170,0,10g,3g,0g,50mg,340mg,2g,1g,1g,18g,Golden Corral
6603,Pork Posole,130,45,5g,1.5g,0g,20mg,1150mg,13g,4g,1g,6g,Golden Corral
6604,Pork Pot Roast,200,0,12g,4.5g,0g,55mg,510mg,5g,1g,2g,17g,Golden Corral
6605,Pork Quesadillas,140,0,9g,3g,0g,15mg,210mg,9g,1g,1g,6g,Golden Corral
6606,Pork Steaks,250,120,13g,4.5g,0g,55mg,1070mg,17g,0g,14g,17g,Golden Corral
6607,Sausage And Egg Skillet,240,0,19g,7g,0g,145mg,430mg,8g,1g,1g,10g,Golden Corral
6608,Sausage Skillet,270,0,21g,8g,0g,35mg,450mg,11g,1g,1g,7g,Golden Corral
6609,Sliced Ham,120,0,4.5g,1.5g,0g,45mg,670mg,3g,0g,3g,15g,Golden Corral
6610,Smoked BBQ Pork,210,0,12g,5g,0g,75mg,160mg,0g,0g,0g,25g,Golden Corral
6611,Smoked BBQ Sausage,230,0,19g,7g,0g,40mg,820mg,8g,0g,6g,8g,Golden Corral
6612,Smoked Cajun Sausage,320,0,30g,14g,0g,60mg,560mg,0g,0g,0g,11g,Golden Corral
6613,Smoked Pitt Ham,110,0,6g,2g,0g,50mg,1070mg,1g,0g,1g,14g,Golden Corral
6614,Smoked Pork Spare Ribs,870,0,76g,28g,0g,195mg,1220mg,1g,0g,1g,46g,Golden Corral
6615,Smoked Sausage,180,140,16g,6g,0g,35mg,530mg,3g,0g,1g,6g,Golden Corral
6616,Smoked Sausage With Onions And Peppers,220,0,19g,7g,0g,40mg,640mg,4g,0g,2g,8g,Golden Corral
